,file,octave,note,dynamics,pitch
0,original/Piano.mf.A1.t.wav,1,A1,mf,55.4
1,original/Piano.mf.A2.t.wav,2,A2,mf,110.4
2,original/Piano.mf.A3.t.wav,3,A3,mf,221.0
3,original/Piano.mf.A4.t.wav,4,A4,mf,442.9
4,original/Piano.mf.A5.t.wav,5,A5,mf,895.4
5,original/Piano.mf.A6.t.wav,6,A6,mf,1818.4
6,original/Piano.mf.A7.t.wav,7,A7,mf,1699.4
7,original/Piano.mf.Ab1.t.wav,1,Ab1,mf,52.1
8,original/Piano.mf.Ab2.t.wav,2,Ab2,mf,104.2
9,original/Piano.mf.Ab3.t.wav,3,Ab3,mf,209.2
10,original/Piano.mf.Ab4.t.wav,4,Ab4,mf,419.1
11,original/Piano.mf.Ab5.t.wav,5,Ab5,mf,851.2
12,original/Piano.mf.Ab6.t.wav,6,Ab6,mf,1725.7
13,original/Piano.mf.Ab7.t.wav,7,Ab7,mf,2885.3
14,original/Piano.mf.B0.t.wav,0,B0,mf,31.0
15,original/Piano.mf.B1.t.wav,1,B1,mf,62.0
16,original/Piano.mf.B2.t.wav,2,B2,mf,124.0
17,original/Piano.mf.B3.t.wav,3,B3,mf,248.5
18,original/Piano.mf.B4.t.wav,4,B4,mf,501.6
19,original/Piano.mf.B5.t.wav,5,B5,mf,1016.0
20,original/Piano.mf.B6.t.wav,6,B6,mf,2087.7
21,original/Piano.mf.B7.t.wav,7,B7,mf,1383.3
22,original/Piano.mf.Bb1.t.wav,1,Bb1,mf,58.4
23,original/Piano.mf.Bb2.t.wav,2,Bb2,mf,117.1
24,original/Piano.mf.Bb3.t.wav,3,Bb3,mf,235.0
25,original/Piano.mf.Bb4.t.wav,4,Bb4,mf,470.5
26,original/Piano.mf.Bb5.t.wav,5,Bb5,mf,948.6
27,original/Piano.mf.Bb6.t.wav,6,Bb6,mf,1952.8
28,original/Piano.mf.Bb7.t.wav,7,Bb7,mf,2724.5
29,original/Piano.mf.C1.t.wav,1,C1,mf,32.8
30,original/Piano.mf.C2.t.wav,2,C2,mf,65.7
31,original/Piano.mf.C3.t.wav,3,C3,mf,131.4
32,original/Piano.mf.C4.t.wav,4,C4,mf,263.3
33,original/Piano.mf.C5.t.wav,5,C5,mf,527.6
34,original/Piano.mf.C6.t.wav,6,C6,mf,1063.8
35,original/Piano.mf.C7.t.wav,7,C7,mf,2186.0
36,original/Piano.mf.C8.t.wav,8,C8,mf,1367.2
37,original/Piano.mf.D1.t.wav,1,D1,mf,36.8
38,original/Piano.mf.D2.t.wav,2,D2,mf,73.7
39,original/Piano.mf.D3.t.wav,3,D3,mf,147.7
40,original/Piano.mf.D4.t.wav,4,D4,mf,295.6
41,original/Piano.mf.D5.t.wav,5,D5,mf,596.5
42,original/Piano.mf.D6.t.wav,6,D6,mf,1203.8
43,original/Piano.mf.D7.t.wav,7,D7,mf,2491.7
44,original/Piano.mf.Db1.t.wav,1,Db1,mf,34.7
45,original/Piano.mf.Db2.t.wav,2,Db2,mf,69.7
46,original/Piano.mf.Db3.t.wav,3,Db3,mf,139.7
47,original/Piano.mf.Db4.t.wav,4,Db4,mf,279.7
48,original/Piano.mf.Db5.t.wav,5,Db5,mf,561.2
49,original/Piano.mf.Db6.t.wav,6,Db6,mf,1133.7
50,original/Piano.mf.Db7.t.wav,7,Db7,mf,2330.7
51,original/Piano.mf.E1.t.wav,1,E1,mf,41.2
52,original/Piano.mf.E2.t.wav,2,E2,mf,83.1
53,original/Piano.mf.E3.t.wav,3,E3,mf,166.2
54,original/Piano.mf.E4.t.wav,4,E4,mf,332.4
55,original/Piano.mf.E5.t.wav,5,E5,mf,668.9
56,original/Piano.mf.E6.t.wav,6,E6,mf,1352.5
57,original/Piano.mf.E7.t.wav,7,E7,mf,2740.6
58,original/Piano.mf.Eb1.t.wav,1,Eb1,mf,39.1
59,original/Piano.mf.Eb2.t.wav,2,Eb2,mf,78.4
60,original/Piano.mf.Eb3.t.wav,3,Eb3,mf,156.4
61,original/Piano.mf.Eb4.t.wav,4,Eb4,mf,313.1
62,original/Piano.mf.Eb5.t.wav,5,Eb5,mf,629.7
63,original/Piano.mf.Eb6.t.wav,6,Eb6,mf,1270.8
64,original/Piano.mf.Eb7.t.wav,7,Eb7,mf,2609.0
65,original/Piano.mf.F1.t.wav,1,F1,mf,86.5
66,original/Piano.mf.F2.t.wav,2,F2,mf,87.5
67,original/Piano.mf.F3.t.wav,3,F3,mf,175.3
68,original/Piano.mf.F4.t.wav,4,F4,mf,349.6
69,original/Piano.mf.F5.t.wav,5,F5,mf,697.3
70,original/Piano.mf.F6.t.wav,6,F6,mf,1388.3
71,original/Piano.mf.F7.t.wav,7,F7,mf,2756.7
72,original/Piano.mf.G1.t.wav,1,G1,mf,49.3
73,original/Piano.mf.G2.t.wav,2,G2,mf,98.3
74,original/Piano.mf.G3.t.wav,3,G3,mf,196.9
75,original/Piano.mf.G4.t.wav,4,G4,mf,394.9
76,original/Piano.mf.G5.t.wav,5,G5,mf,789.1
77,original/Piano.mf.G6.t.wav,6,G6,mf,1596.8
78,original/Piano.mf.G7.t.wav,7,G7,mf,2761.7
79,original/Piano.mf.Gb1.t.wav,1,Gb1,mf,46.5
80,original/Piano.mf.Gb2.t.wav,2,Gb2,mf,92.8
81,original/Piano.mf.Gb3.t.wav,3,Gb3,mf,185.9
82,original/Piano.mf.Gb4.t.wav,4,Gb4,mf,371.4
83,original/Piano.mf.Gb5.t.wav,5,Gb5,mf,747.5
84,original/Piano.mf.Gb6.t.wav,6,Gb6,mf,1505.8
